FahrzeugID,Tag,Stunde,Oeltemperatur,Motordruck,Drehzahl,Fehlalarme,Reifendruck,Bremsweg,Maschine1,Maschine2,Maschine3,Maschine4,Maschine5,Maschine6,Maschine7,Maschine8,Maschine9,Maschine10
A1,Mo,0,91.49014245903368,2.272347139765763,1582.3844269050346,0,32.091696461894394,48.837123876600415,125.05257642403264,127.09560932988242,122.37415096410926,137.1430991712293,110.37958581126448,116.937254936532,132.75184841198453,139.08222540475663,124.3806200119207,122.85976967911884
A1,Mo,1,87.77277948864248,2.1593312396585183,1443.018967196188,1,32.08500491662205,49.1826990656388,120.6110958261134,127.42282168953771,121.99873074947044,144.7371991052332,116.45517000631092,126.8222012986268,122.892239026622,134.1912230680124,129.33175598078756,124.97236068839936
A1,Mo,2,89.31164863850412,2.3778697826512243,1486.744044303868,0,31.31419673222823,44.01544185330471,120.98430617934562,133.69233289997706,125.85684140594984,139.4217585880588,113.49448152205356,122.60739004816288,124.40077895802644,132.69680614520107,137.28561113109458,126.71809144784233
A1,Mo,3,84.7108795339118,2.364816793878959,1530.745885979184,0,32.494509322575986,50.66324537878007,124.4716616505438,133.7749889862237,123.96417054947712,136.8826130250752,107.4592335522626,135.4982348789241,127.11133939364672,132.9480834565685,137.8985817235035,120.5089603027216
A1,Mo,4,92.50438625769128,2.359312276865794,1498.1085061742258,1,32.618468603611106,52.48630275865042,121.6909062599666,146.86148126813336,120.39804597466312,138.006808049924,114.69567956262628,122.90624770704298,133.2124580866971,139.51766245312922,132.09500165531074,122.32791773163248
A1,Mo,5,85.51483838755699,2.142148334260416,1587.185564188561,0,31.633564049851465,46.49472886924639,124.57701058851038,131.64375554829843,122.3511989811648,142.56633716556678,115.4853877467402,134.84322495266446,124.48973453061323,133.36168926701117,130.0394592343392,117.6824252593394
A1,Mo,6,90.88836083119372,2.3522110544359776,1550.255672832123,0,31.86729111265625,46.81345064525912,118.55431571765028,132.26468163266756,124.16969545824468,141.0746941504738,104.88842533402132,125.28471595766368,135.01979369329646,134.9072459774418,123.63247689004888,119.63734082782172
A1,Mo,7,87.02224146179043,2.320469536509933,1528.3695359725994,0,32.129867280179475,48.90464202700084,119.8264411514738,124.15660981190234,130.71411407257511,143.75966516343388,118.95515973521525,125.4530627260263,135.0139715546805,127.9907446860386,134.93428546900134,135.9522781290499
A1,Mo,8,87.02839102460794,2.186740454079445,1554.9825682543822,1,31.09276668709034,43.348009706801605,120.34281487403014,124.68848143136948,127.36796215317592,135.40287882883098,122.7496720250877,126.0837335383188,126.38969241897162,139.06758608684834,125.84567841783024,126.13729967302064
A1,Mo,9,93.92142826284729,1.9785033530877545,1559.231692926615,0,32.54587501615217,51.57218176834092,126.49698407132244,125.66426921975224,128.08820422755574,146.08535398490056,116.13144134749436,134.2370071628832,128.87416505995736,128.91572553820382,137.24673696160434,131.62552830757102
